"File","Close All","Shift+Ctrl+W","In Windows"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Run/Debug","Debug","F11","In Windows"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editor Breadcrumb Navigation"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing in Structured Text Editors"
"File","&Create Module...","Ctrl+5","In Windows"
"Run/Debug","Previous Page of Memory","Shift+Ctrl+,","In Table Memory Rendering"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Source","Surround With Quick Menu","Shift+Alt+Z","In Windows"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Terminal view commands","Terminal view insert","Alt+T","Terminal widget context"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"UML2 Sequence Diagram Viewer Commands","Show node start ","Shift+Alt+Home","UML2 Sequence Diagram Viewer"
"Source","Toggle Source/Header","Ctrl+Tab","C/C++ Editor"
"Edit","Select Next Element","Shift+Alt+Right","Editing Java Source"
"Focused UI","Make Landmark","Shift+Ctrl+Alt+Up","In Windows"
"Navigate","Backward History","Alt+Left","In Windows"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Task Repositories","Mark Task Read","Shift+Alt+R","In Tasks View"
"Refactor - Java","Extract Method","Shift+Alt+M","In Windows"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Edit","Find Previous","Shift+Ctrl+K","Editing Text"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Source","Go to Matching Bracket","Shift+Ctrl+P","C/C++ Editor"
"Navigate","Previous Page","Shift+Alt+F7","In Windows"
"Run/Debug","Step Return","F7","Debugging"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing Java Source"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Editor Commands","Toggle Comment","Shift+Ctrl+C","Editing Text"
"Editor Commands","Show outline","Ctrl+O","Specfile Editor Context"
"Task Editor","Submit Task","Shift+Alt+S","In Tasks Editor"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Refactor - C++","Extract Constant - Refactoring ","Alt+C","C/C++ Editor"
"Changelog","Insert ChangeLog entry","Ctrl+Alt+C","Comparing in an Editor"
"Navigate","Open Type Hierarchy","F4","C/C++ Editor"
"Run/Debug","Debug JUnit Test","Shift+Alt+D T","In Windows"
"Navigate","Go to Previous Member","Shift+Ctrl+Up","Editing Java Source"
"Navigate","Open Type Hierarchy","F4","In C/C++ Views"
"Reverse Debugging Commands","Uncall","Shift+F7","Debugging C/C++"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing Java Source"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"UML2 Sequence Diagram Viewer Commands","Scroll left","Shift+Alt+Left","UML2 Sequence Diagram Viewer"
"Project","Build Project","Ctrl+B","In Windows"
"Run/Debug","Step Over","F6","Debugging"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Refactor - Java","Change Method Signature","Shift+Alt+C","In Windows"
"Changelog","Prepare Commit","Ctrl+Alt+V","Editing Text"
"Run/Debug","Debug Java Application","Shift+Alt+D J","In Windows"
"Text Editing","Line End","End","Editing Text"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Task Repositories","Mark Task Complete","Shift+Alt+C","In Tasks View"
